Support Count,Label,Tot Fwd Pkts Category,Tot Bwd Pkts Category,Flow Duration Category,TotLen Fwd Pkts Category,TotLen Bwd Pkts Category,Flow IAT Mean Category,Pkt Size Avg Category,Fwd Act Data Pkts Category,Bwd Pkts/s Category,Fwd Pkts/s Category,Subflow Bwd Byts Category,Dst Port,Protocol,SYN Flag Cnt,ACK Flag Cnt,PSH Flag Cnt,Init Fwd Win Byts Category,Fwd Seg Size Min
195,Portscan,1.5,0.5,238.0,155.5,64.5,116.41666665,32.5,0.5,21581.027668,23045.72271383333,64.5,444,6,1,1,0,NaN,NaN
269,Bot,1168.5,0.5,60012540.0,155.5,64.5,55506797.0,32.5,0.5,35.631627280325,39.384033715,64.5,0,0,0,0,0,511.5,0
271,Bot,1168.5,NaN,60012540.0,155.5,64.5,55506797.0,32.5,0.5,35.631627280325,39.384033715,64.5,0,0,0,0,0,511.5,0
273,Bot,1168.5,0.5,60012540.0,155.5,64.5,NaN,32.5,0.5,35.631627280325,NaN,64.5,0,0,0,0,0,511.5,0
198,Portscan,2.5,0.5,1366.0,155.5,64.5,398.91666665,32.5,0.5,1762.6642132499999,3580.3784364999997,64.5,NaN,6,2,3,0,28041.5,32
251,Portscan,2.5,0.5,1366.0,155.5,64.5,398.91666665,32.5,0.5,1762.6642132499999,NaN,64.5,NaN,6,2,3,0,28041.5,32
284,Portscan,2.5,0.5,NaN,155.5,64.5,398.91666665,32.5,0.5,1762.6642132499999,3580.3784364999997,64.5,NaN,6,2,3,0,28041.5,32
165,Benign,1168.5,NaN,60012540.0,107599.5,532.0,55506797.0,NaN,77.5,35.631627280325,39.384033715,532.0,445,6,0,0,1,5122.0,20
383,Portscan,1.5,0.5,602.5,155.5,64.5,398.91666665,32.5,0.5,1762.6642132499999,3580.3784364999997,64.5,NaN,6,2,1,0,511.5,20
396,Portscan,1.5,0.5,602.5,155.5,64.5,398.91666665,32.5,0.5,1762.6642132499999,NaN,64.5,NaN,6,2,1,0,511.5,20
426,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,117.14285715,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,5122.0,20
430,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,117.14285715,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,NaN,20
800,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,5122.0,20
1226,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,NaN,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,5122.0,20
838,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,NaN,20
1268,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,NaN,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,NaN,20
801,Benign,1168.5,2972.0,60012540.0,NaN,4149444.0,55506797.0,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,5122.0,20
1227,Benign,1168.5,2972.0,60012540.0,NaN,4149444.0,55506797.0,NaN,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,5122.0,20
839,Benign,1168.5,2972.0,60012540.0,NaN,4149444.0,55506797.0,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,3389,6,0,0,1,NaN,20
445,Benign,1168.5,2972.0,60012540.0,107599.5,NaN,55506797.0,117.14285715,77.5,35.631627280325,39.384033715,NaN,3389,6,0,0,1,5122.0,20
527,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,443,6,0,0,1,5122.0,20
529,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,55506797.0,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,443,6,0,NaN,NaN,5122.0,20
564,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,NaN,814.64285715,77.5,35.631627280325,39.384033715,4149444.0,443,6,0,0,1,5122.0,20
575,Benign,1168.5,2972.0,60012540.0,107599.5,4149444.0,NaN,814.64285715,77.5,NaN,39.384033715,4149444.0,443,6,0,0,1,5122.0,20
